Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Assist,Assist_by,Time_dumy
11:48.0,D.Bertans,1,25-35,2.0,3-pt,jump,24,misses,Dallas,,,2022-06-03 11:48:00
9:45.0,D.Bertans,1,34-42,2.0,3-pt,jump,23,makes,Dallas, assist,Dinwiddie ,2022-06-03 09:45:00
11:12.0,D.Bertans,2,28-32,2.0,3-pt,jump,26,misses,Dallas,,,2022-06-03 11:12:00
8:53.0,D.Bertans,2,36-38,2.0,3-pt,jump,25,makes,Dallas, assist,Dinwiddie ,2022-06-03 08:53:00
7:56.0,D.Bertans,2,41-38,2.0,3-pt,jump,23,makes,Dallas, assist,Brunson ,2022-06-03 07:56:00
7:10.0,D.Bertans,2,43-38,2.0,3-pt,jump,29,misses,Dallas,,,2022-06-03 07:10:00
5:09.0,D.Bertans,2,48-43,2.0,3-pt,jump,26,makes,Dallas, assist,Doncic ,2022-06-03 05:09:00
0:00.0,D.Bertans,2,60-58,2.0,3-pt,jump,36,misses,Dallas,,,2022-06-03 00:00:00
3:04.0,D.Bertans,2,78-80,3.0,3-pt,jump,23,misses,Dallas,,,2022-06-03 03:04:00
1:26.0,D.Bertans,4,21-34,1.0,3-pt,jump,22,makes,Dallas, assist,Dinwiddie ,2022-06-03 01:26:00
0:21.0,D.Bertans,4,25-37,1.0,3-pt,jump,25,makes,Dallas, assist,Dinwiddie ,2022-06-03 00:21:00
11:13.0,D.Bertans,4,25-40,2.0,3-pt,jump,22,makes,Dallas, assist,Dinwiddie ,2022-06-03 11:13:00
10:19.0,D.Bertans,4,27-43,2.0,3-pt,jump,25,makes,Dallas, assist,Dinwiddie ,2022-06-03 10:19:00
9:16.0,D.Bertans,4,29-46,2.0,3-pt,jump,25,misses,Dallas,,,2022-06-03 09:16:00
0:15.0,D.Bertans,4,99-111,4.0,3-pt,jump,27,misses,Dallas,,,2022-06-03 00:15:00
8:30.0,D.Bertans,5,33-28,2.0,3-pt,jump,25,makes,Dallas, assist,Brunson ,2022-06-03 08:30:00
8:04.0,D.Bertans,5,36-30,2.0,3-pt,jump,29,makes,Dallas, assist,Dinwiddie ,2022-06-03 08:04:00
8:04.0,D.Bertans,5,37-30,2.0,free,throw,1,makes,Dallas,,,2022-06-03 08:04:00
3:53.0,D.Bertans,5,54-68,3.0,3-pt,jump,27,misses,Dallas,,,2022-06-03 03:53:00
5:00.0,D.Bertans,5,76-95,4.0,3-pt,jump,28,makes,Dallas, assist,Brunson ,2022-06-03 05:00:00
10:20.0,D.Bertans,6,31-34,2.0,3-pt,jump,28,misses,Dallas,,,2022-06-03 10:20:00
10:03.0,D.Bertans,6,31-34,2.0,free,throw,2,misses,Dallas,,,2022-06-03 10:03:00
10:03.0,D.Bertans,6,31-35,2.0,free,throw,2,makes,Dallas,,,2022-06-03 10:03:00
10:13.0,D.Bertans,6,76-95,4.0,free,throw,2,makes,Dallas,,,2022-06-03 10:13:00
10:13.0,D.Bertans,6,76-96,4.0,free,throw,2,makes,Dallas,,,2022-06-03 10:13:00
11:20.0,D.Bertans,7,27-19,2.0,3-pt,jump,25,misses,Dallas,,,2022-06-03 11:20:00
10:48.0,D.Bertans,7,27-19,2.0,3-pt,jump,29,misses,Dallas,,,2022-06-03 10:48:00
11:40.0,D.Bertans,7,92-50,4.0,3-pt,jump,25,misses,Dallas,,,2022-06-03 11:40:00
