Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:36.0,M.Smart,1,2-6,1.0,3-pt,jump,24,makes,Boston,2022-07-01 10:36:00
8:04.0,M.Smart,1,8-9,1.0,free,throw,2,makes,Boston,2022-07-01 08:04:00
8:04.0,M.Smart,1,8-10,1.0,free,throw,2,makes,Boston,2022-07-01 08:04:00
7:39.0,M.Smart,1,10-10,1.0,3-pt,jump,27,misses,Boston,2022-07-01 07:39:00
4:50.0,M.Smart,1,12-18,1.0,2-pt,layup,2,makes,Boston,2022-07-01 04:50:00
8:10.0,M.Smart,1,33-32,2.0,2-pt,layup,ft,misses,Boston,2022-07-01 08:10:00
5:12.0,M.Smart,1,42-34,2.0,3-pt,jump,26,misses,Boston,2022-07-01 05:12:00
1:43.0,M.Smart,1,52-46,2.0,3-pt,jump,25,misses,Boston,2022-07-01 01:43:00
11:22.0,M.Smart,1,56-46,3.0,3-pt,jump,27,misses,Boston,2022-07-01 11:22:00
10:59.0,M.Smart,1,56-46,3.0,2-pt,layup,ft,misses,Boston,2022-07-01 10:59:00
8:14.0,M.Smart,1,63-54,3.0,3-pt,jump,27,misses,Boston,2022-07-01 08:14:00
7:25.0,M.Smart,1,64-56,3.0,2-pt,layup,3,makes,Boston,2022-07-01 07:25:00
6:01.0,M.Smart,1,66-57,3.0,free,throw,2,misses,Boston,2022-07-01 06:01:00
6:01.0,M.Smart,1,66-57,3.0,free,throw,2,makes,Boston,2022-07-01 06:01:00
2:47.0,M.Smart,1,99-85,4.0,2-pt,layup,ft,misses,Boston,2022-07-01 02:47:00
6:28.0,M.Smart,3,32-33,2.0,2-pt,layup,ft,misses,Boston,2022-07-01 06:28:00
6:15.0,M.Smart,3,33-33,2.0,free,throw,2,makes,Boston,2022-07-01 06:15:00
6:15.0,M.Smart,3,34-33,2.0,free,throw,2,makes,Boston,2022-07-01 06:15:00
5:30.0,M.Smart,3,34-36,2.0,2-pt,jump,11,misses,Boston,2022-07-01 05:30:00
3:26.0,M.Smart,3,40-42,2.0,free,throw,2,makes,Boston,2022-07-01 03:26:00
3:26.0,M.Smart,3,41-42,2.0,free,throw,2,makes,Boston,2022-07-01 03:26:00
10:13.0,M.Smart,3,50-48,3.0,3-pt,jump,27,misses,Boston,2022-07-01 10:13:00
5:26.0,M.Smart,3,61-66,3.0,3-pt,jump,27,makes,Boston,2022-07-01 05:26:00
5:00.0,M.Smart,3,61-66,3.0,3-pt,jump,28,misses,Boston,2022-07-01 05:00:00
5:59.0,M.Smart,3,88-92,4.0,2-pt,layup,ft,misses,Boston,2022-07-01 05:59:00
3:44.0,M.Smart,3,95-97,4.0,free,throw,2,misses,Boston,2022-07-01 03:44:00
3:44.0,M.Smart,3,96-97,4.0,free,throw,2,makes,Boston,2022-07-01 03:44:00
0:51.0,M.Smart,3,100-99,4.0,3-pt,jump,28,misses,Boston,2022-07-01 00:51:00
0:04.0,M.Smart,3,101-103,4.0,free,throw,2,misses,Boston,2022-07-01 00:04:00
0:04.0,M.Smart,3,101-103,4.0,free,throw,2,makes,Boston,2022-07-01 00:04:00
0:03.0,M.Smart,3,101-103,4.0,2-pt,jump,5,misses,Boston,2022-07-01 00:03:00
8:29.0,M.Smart,4,2-8,1.0,3-pt,jump,27,misses,Boston,2022-07-01 08:29:00
8:03.0,M.Smart,4,2-8,1.0,2-pt,layup,ft,misses,Boston,2022-07-01 08:03:00
7:08.0,M.Smart,4,6-8,1.0,2-pt,jump,6,makes,Boston,2022-07-01 07:08:00
5:09.0,M.Smart,4,11-16,1.0,2-pt,layup,ft,misses,Boston,2022-07-01 05:09:00
4:45.0,M.Smart,4,38-38,2.0,2-pt,layup,2,makes,Boston,2022-07-01 04:45:00
3:31.0,M.Smart,4,41-40,2.0,3-pt,jump,25,makes,Boston,2022-07-01 03:31:00
8:47.0,M.Smart,4,53-59,3.0,2-pt,jump,6,misses,Boston,2022-07-01 08:47:00
5:55.0,M.Smart,4,63-67,3.0,2-pt,layup,1,makes,Boston,2022-07-01 05:55:00
10:54.0,M.Smart,4,75-80,4.0,2-pt,layup,ft,misses,Boston,2022-07-01 10:54:00
10:25.0,M.Smart,4,78-80,4.0,3-pt,jump,27,makes,Boston,2022-07-01 10:25:00
7:27.0,M.Smart,4,90-87,4.0,2-pt,jump,6,makes,Boston,2022-07-01 07:27:00
1:44.0,M.Smart,4,110-102,4.0,2-pt,jump,5,makes,Boston,2022-07-01 01:44:00
0:58.0,M.Smart,4,114-104,4.0,2-pt,jump,8,makes,Boston,2022-07-01 00:58:00
10:29.0,M.Smart,5,6-2,1.0,2-pt,hook,6,misses,Boston,2022-07-01 10:29:00
6:35.0,M.Smart,5,13-10,1.0,2-pt,jump,15,misses,Boston,2022-07-01 06:35:00
3:44.0,M.Smart,5,19-16,1.0,2-pt,jump,22,makes,Boston,2022-07-01 03:44:00
2:52.0,M.Smart,5,19-20,1.0,2-pt,layup,2,makes,Boston,2022-07-01 02:52:00
2:21.0,M.Smart,5,22-20,1.0,3-pt,jump,26,misses,Boston,2022-07-01 02:21:00
2:13.0,M.Smart,5,42-54,2.0,3-pt,jump,26,makes,Boston,2022-07-01 02:13:00
6:03.0,M.Smart,5,59-64,3.0,2-pt,layup,3,makes,Boston,2022-07-01 06:03:00
5:08.0,M.Smart,5,63-69,3.0,3-pt,jump,26,makes,Boston,2022-07-01 05:08:00
2:14.0,M.Smart,5,70-78,3.0,3-pt,jump,26,makes,Boston,2022-07-01 02:14:00
0:04.0,M.Smart,5,77-86,3.0,3-pt,jump,25,misses,Boston,2022-07-01 00:04:00
0:08.0,M.Smart,5,108-107,4.0,2-pt,layup,ft,misses,Boston,2022-07-01 00:08:00
10:55.0,M.Smart,6,6-2,1.0,3-pt,jump,27,makes,Boston,2022-07-01 10:55:00
8:36.0,M.Smart,6,12-6,1.0,3-pt,jump,27,makes,Boston,2022-07-01 08:36:00
4:53.0,M.Smart,6,20-22,1.0,3-pt,jump,26,makes,Boston,2022-07-01 04:53:00
4:01.0,M.Smart,6,20-22,1.0,3-pt,jump,26,misses,Boston,2022-07-01 04:01:00
2:31.0,M.Smart,6,23-24,1.0,3-pt,jump,23,makes,Boston,2022-07-01 02:31:00
2:03.0,M.Smart,6,25-24,1.0,2-pt,layup,2,makes,Boston,2022-07-01 02:03:00
0:10.0,M.Smart,6,28-26,1.0,3-pt,jump,27,misses,Boston,2022-07-01 00:10:00
6:16.0,M.Smart,6,42-35,2.0,3-pt,jump,26,misses,Boston,2022-07-01 06:16:00
0:27.0,M.Smart,6,51-43,2.0,2-pt,layup,2,makes,Boston,2022-07-01 00:27:00
10:21.0,M.Smart,6,54-45,3.0,2-pt,layup,ft,misses,Boston,2022-07-01 10:21:00
8:55.0,M.Smart,6,59-48,3.0,2-pt,dunk,,misses,Boston,2022-07-01 08:55:00
3:06.0,M.Smart,6,73-62,3.0,3-pt,jump,26,makes,Boston,2022-07-01 03:06:00
0:28.0,M.Smart,6,80-68,3.0,2-pt,layup,ft,misses,Boston,2022-07-01 00:28:00
4:20.0,M.Smart,6,100-87,4.0,2-pt,jump,22,makes,Boston,2022-07-01 04:20:00
4:00.0,M.Smart,6,100-87,4.0,3-pt,jump,28,misses,Boston,2022-07-01 04:00:00
3:04.0,M.Smart,6,100-89,4.0,2-pt,layup,ft,misses,Boston,2022-07-01 03:04:00
9:34.0,M.Smart,7,6-3,1.0,3-pt,jump,27,misses,Boston,2022-07-01 09:34:00
2:56.0,M.Smart,7,22-14,1.0,3-pt,jump,27,misses,Boston,2022-07-01 02:56:00
4:15.0,M.Smart,7,39-38,2.0,2-pt,layup,ft,misses,Boston,2022-07-01 04:15:00
3:11.0,M.Smart,7,40-38,2.0,2-pt,layup,ft,misses,Boston,2022-07-01 03:11:00
2:10.0,M.Smart,7,40-42,2.0,2-pt,dunk,,makes,Boston,2022-07-01 02:10:00
0:00.0,M.Smart,7,43-46,2.0,free,throw,3,makes,Boston,2022-07-01 00:00:00
0:00.0,M.Smart,7,43-47,2.0,free,throw,3,makes,Boston,2022-07-01 00:00:00
0:00.0,M.Smart,7,43-48,2.0,free,throw,3,makes,Boston,2022-07-01 00:00:00
8:10.0,M.Smart,7,51-62,3.0,free,throw,2,makes,Boston,2022-07-01 08:10:00
8:10.0,M.Smart,7,51-63,3.0,free,throw,2,makes,Boston,2022-07-01 08:10:00
6:50.0,M.Smart,7,53-65,3.0,3-pt,jump,27,misses,Boston,2022-07-01 06:50:00
3:15.0,M.Smart,7,58-71,3.0,free,throw,2,misses,Boston,2022-07-01 03:15:00
3:15.0,M.Smart,7,58-71,3.0,free,throw,2,makes,Boston,2022-07-01 03:15:00
11:23.0,M.Smart,7,66-79,4.0,3-pt,jump,23,misses,Boston,2022-07-01 11:23:00
5:24.0,M.Smart,7,75-94,4.0,3-pt,jump,23,misses,Boston,2022-07-01 05:24:00
5:20.0,M.Smart,7,75-97,4.0,3-pt,jump,23,makes,Boston,2022-07-01 05:20:00
